"","SERIALNO","TRIWALES","POINT","ADDRESS","SOCDONE","INTDATE","STRTIME","FINTIME","INTLEN","INTLEN1","SINTLEN","WTFACTOR","POSTCODE","UACODE","UANAME","CONCODE","CONNAME","WARDCODE","WARDNAME","WELSHSPK","POPDEN","WREADPAP","WHPAPER1","WWHPAPF1","WWHPAPF2","WHPAPER2","WHPAPER3","WHTVFW01","WHTVFW02","WHTVFW03","WHTVFW04","WHTVFW05","WHTVFW06","WHTVFW07","WHTVFW08","WHTVFW09","WHTVFW10","WHTVFW11","BBC1WALE","BBC1OTHR","BBC2","HTVWALES","ITVOTHER","CHANNEL4","S4C","CHANNEL5","SKYNEWS","OTHCHANL","TVNEVER","TVRGNEWS","ELREGON","ELREGW2","POLLINGE","REGISTSR","REFSTUD","PTYTHNK","PTYCLS","IDSTRNG","PARTYID","VOTED","VOTECOD1","VOTECOD2","VOTECOD3","VOTECOD4","VOTECOD5","WHENDECD","VOTE","YVOTCLS","PTYPREF","OTHSPEC8","SCWBRGE","VOTESWC","VOTESWL","DFWNSCW","DFWNGE","COALITIN","COALITW","VOTESYST","CONFEEL","LABFEEL","LDFEEL","PCFEEL","MORGANFM","NATCAPAB","SNHSIESW","SNHSWHSW","EDSTIESW","EDSTWHSW","SLIVIESW","SLIVWHSW","TAXSPEND","BPRIORF1","BPRIORF2","ECPOLICY","EUROREF","GOVTWORK","LOSETCH","VOTEINTR","LOSTCHAM","COOPPAAS","COOPHOC","IMPGSCTP","IMPGWEAS","UKINTNAT","NATINNAT","SRSOCCL1","SRSOCCL2","SRSOCCL","NATCLASS","NATID","IDENT1","IDENT2","IDENT3","FLAGUJ","FLAGNAT","WALEPARL","WALEPAR2","WCONRFVW","WLABRFVW","WLDRFVW","WPCRFVW","VOTESYSW","WALSHIND","INDEPENT","DOESINFL","OUGHINFL","INFL10YR","OUDEFOOD","OUDEBUGR","OUDEBENF","LEAVEUK2","VOICEUK3","SAYINGV3","IMPRVED3","WNANHS","WNAECON2","PREAM","RTXSPD","NLBTXSPD","SWLTXSPD","PCTXSPD","CONTXSPD","LDTXSPD","SCDONE","WLLIVLAN","WELSHDIF","RWELSHSP","RSEX","RAGE","RAGECAT","RSEXAGE","NATIONU1","NATIONU2","NATIONU3","NATIONU4","NATIONU5","NATIONU6","NATIONU7","NATIONU8","NATIONU9","BNATIONU","BESTNATU","RACEORI2","RELIGION","RELIGSUM","FAMRELIG","RLFAMSUM","CHATTEND","RBORN2","RLIVELS2","LIVWASC2","LIVEAREA","TENURE","TENURE2","TENURE5","MARSTAT2","MARSTAT","MARRIED","RECONACT","SECONACT","R2LASTJB","JOB","MAKEDO","TRAIN","R2EMPLYE","R2SUPMN2","R2OCSEC2","R2EMPWRK","EMPMAKE","R2JBHRSI","R2JBHRCL","R2PARTFI","R2ECONPS","R2SEGGP2","R2SOCCL2","INFO","SOC","R2SOC","R2SOC2","RINDEXNO","RES2000","RNSSEC","RSECFLAG","RSEG","RSC","RSOCSTAT","SOC2000","XSOC2000","INDEXNO","ES2000","NSSEC","SECFLAG","SEG5","SC","SOC90","SOCSTATU","ASOC90","R2EMPSTA","R2SIC92","R2SICGP","R2MINGRP","R2SMAJGP","R2MAJGRP","R2SEG2","R2SEG","R2SEGGRP","R2SOCCLS","R2RGCLAS","R2GHCLAS","R2GHGRP","OEMPSTAT","P2LASTJB","JOB2","MAKEDO2","TRAIN2","P2EMPLYE","P2SUPMN2","P2OCSEC2","P2EMPWRK","EMPMAKE2","P2JBHRSI","P2JBHRCL","P2PARTFI","P2ECONPS","P2SEGGP2","P2SOCCL2","INFO2","P2SOC","P2SOC2","P2SOC3","PINDEXNO","PES2000","PNSSEC","PSECFLAG","PSEG","PSC","PSOCSTAT","P2EMPSTA","P2SIC92","P2SICGP","P2MINGRP","P2SMAJGP","P2MAJGRP","P2SEG2","P2SEG","P2SEGGRP","P2SOCCLS","P2RGCLAS","P2GHCLAS","P2GHGRP","OEMPSTA2","UNIONSA2","UNIONSA","MAININC","HHINCOME","SCHQUAL","SCHQFW1","SCHQFW2","SCHQFW3","SCHQFW4","EDQUAL1","EDQUAL2","EDQUAL3","EDQUAL4","PSCHQUAL","PSCHQF01","PSCHQF02","PSCHQF03","PSCHQF04","PSCHQF05","PSCHQF06","PSCHQF07","PSCHQF08","PSCHQF09","PSCHQF10","PSCHQF11","PSCHQF12","PSCHQF13","PSCHQF14","PSCHQF15","PSCHQF16","PSCHQF17","PSCHQF18","PSCHQF19","EDQUAL6","EDQUAL10","EDQUAL11","EDQUAL12","EDQUAL13","EDQUAL14","EDQUAL15","EDQUAL16","EDQUAL17","EDQUAL18","EDQUAL19","EDQUAL20","EDQUAL21","EDQUAL22","EDQUAL23","EDQUAL24","EDQUAL25","EDQUAL26","EDQUAL27","HEDQUAL","INTERNT","WWWUSE","VOTE97","REFVOTEW","VOTSW99C","VOTSW99L","PHONE","PHONEBCK","STABLE","DATEINTD","DATEINTM","DATEINTY","SELFCOMP","INTNO","OUTCOME","UNOUT","TNC","LANGINT","DUNO","DUSEL","PERSNO","PERSSEL","CARDNO01","INTERV01","BATCH01","LANGUAGE","FAIRSHAR","RICHLAW","TUNTNEED","PRIVENT","PUBLCOWN","GOVRESP1","NLBINTWC","NLBINTMC","NLBINTEN","NLBINTSW","NLBINTWL","SWLINTWC","SWLINTMC","SWLINTEN","SWLINTSW","SWLINTWL","NATINTWC","NATINTMC","NATINTEN","NATINTSW","NATINTWL","CONINTWC","CONINTMC","CONINTEN","CONINTSW","CONINTWL","LDWINTWC","LDWINTMC","LDWINTEN","LDWINTSW","LDWINTWL","MAIN","SC2","LEFTRIGH","CONSTPRE","TRIIDS"
"74",617,0,6,17,1,"25062001","14:27:50","15:26:27",59,59,59,1.1128,"LL54","NC","Gwynedd",535,"CAERNARFON CO CONST & ACONST","NCPT","Talysarn",78.9339030800183,49.2774576599909,1,11,96,0,NA,NA,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,2,NA,2,2,1,NA,NA,NA,NA,NA,1,2,1,NA,"",1,2,2,2,2,2,1,2,4,2,2,4,1,1,3,1,2,2,3,1,3,3,2,8,2,2,2,4,1,3,8,2,3,3,2,2,-1,2,2,1,19,15,10,3,1,4,5,8,5,8,3,2,3,3,2,1,8,4,2,3,3,3,1,3,2,3,1,8,6,3,6,6,9,1,1,1,1,2,68,7,15,8,1,NA,NA,NA,NA,NA,NA,NA,8,8,9,8,3,8,3,1,2,1,NA,68,3,2,3,1,1,1,10,9,-2,"-2,skp,ask partner","-2,skp,ask partner","-2,skp,ask partner",-2,-2,-2,-2,"-2,skp,ask partner",-2,-2,-2,8,-2,-2,NA,-2,-2,"-2,skp,",NA,-2,-2,-2,-2,-2,-2,"8.1.3.7",8137,12834,7,13.2,0,10,4,553,0,NA,NA,-2,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,5,"MACHINIST AT A CLOTH FACTORY","PUTTING THE CLOTH INTO THE MACHINE, WHICH WAS ROLLING THEM THROUGH","NOT5HING",1,3,1,5,"THE LEATHERETTE 'CLOTJ' ONLY. THEY CLOSED DOWN AND HE'S BEEN ON THE SCRAPHEAP EV",48,4,1,9,5,5,NA,553,553,"8.1.3.7",12834,7,13.2,0,10,4,0,9,18,4,55,14,5,13,10,6,4,5,10,5,1,3,NA,3,98,1,2,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",4,2,2,2,1,2,2,1,1,1,NA,NA,NA,61,417,51,NA,2,1,1,NA,2,1,1,417,2674,1,4,2,4,4,2,2,3,2,2,4,4,3,2,2,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,1,1,2,2,1
"75",618,0,6,18,1,"19062001","14:37:08","15:32:06",55,55,55,1.1128,"LL54","NC","Gwynedd",535,"CAERNARFON CO CONST & ACONST","NCNU","Llanllyfni",78.9339030800183,49.2774576599909,2,-1,-1,-1,NA,NA,8,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,1,2,NA,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,2,5,2,2,2,1,3,2,4,4,3,1,4,1,2,8,4,2,2,2,4,5,1,3,2,1,1,3,2,3,3,2,4,2,-1,2,1,4,21,2,10,1,2,5,3,3,3,3,2,8,2,3,2,3,2,3,4,3,3,1,1,1,3,4,1,6,6,5,4,4,4,1,1,4,1,1,20,1,1,2,8,NA,NA,NA,NA,NA,NA,NA,2,2,9,0,5,0,5,-1,3,2,11,0,4,3,5,1,1,1,3,3,-1,"MACHINERUNNER","IN AN INDUSTRIAL TISSUE FACTORY,  THE MACHINE I RUN WREAPS AND STACKS THE OUTPUT","JUST TRAINNING",1,3,1,4,"45",45,4,1,1,4,4,NA,821,821,"8.1.2.1",13428,7,12.3,0,9,3.2,0,"8.1.2.1",8121,13428,7,12.3,0,9,3.2,821,0,NA,9,21,4,82,19,8,12,9,5,3,4,9,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,5,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,NA,1,12,1,2,NA,NA,NA,"","","","",1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",4,1,1,0,0,0,NA,1,1,1,NA,NA,NA,61,417,51,NA,4,1,1,NA,2,2,1,417,1083,1,4,2,5,3,2,3,2,2,2,2,2,2,3,2,2,2,3,2,4,3,1,4,2,2,3,3,3,2,2,3,3,1,1,2.16666666666667,1,3
"76",619,0,6,19,1,"28062001","19:35:21","20:48:59",73,73,73,3.3384,"LL54","NC","Gwynedd",535,"CAERNARFON CO CONST & ACONST","NCNU","Llanllyfni",78.9339030800183,49.2774576599909,2,-1,-1,-1,NA,NA,1,2,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,2,2,9,1,NA,3,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5,5,5,5,2,1,2,2,4,3,2,3,2,2,8,3,8,2,1,2,2,3,1,2,4,2,2,2,8,3,3,3,3,2,4,8,3,NA,3,14,4,8,3,3,3,4,8,8,8,3,2,3,3,2,1,2,2,4,4,3,3,3,3,3,3,1,4,1,1,4,4,5,1,2,3,2,2,32,2,10,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,9,0,5,3,1,7,3,1,NA,11,1,1,1,1,1,1,10,3,-2,"-2,skp,ask partner","-2,skp,ask partner","-2,skp,ask partner",-2,-2,-2,-2,"-2,skp,ask partner",-2,-2,-2,8,-2,-2,NA,-2,-2,"-2,skp,",NA,-2,-2,-2,-2,-2,-2,"1.2.1.1",1211,19098,3,9.2,0,14,2,160,1,NA,NA,-2,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,-1,"FARMER","TRACTORS, JCB, CHAINSAWS, ...STONEWALLING, KEEP SHEEP ANDE CATTLE,","HND IN AGRICULTURE",2,NA,NA,0,"180",95,4,1,3,4,2,NA,160,160,"1.2.1.1",19098,3,9.2,0,14,2,1,3,1,1,16,2,1,17,14,5,2,2,7,3,3,3,NA,1,1,1,1,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",5,2,2,0,0,0,NA,1,1,2,NA,NA,NA,61,417,51,NA,2,1,11,1,4,4,1,417,2572,1,4,1,4,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,1,1,1.83333333333333,3,2
"77",620,0,6,20,1,"08082001","18:39:54","19:38:27",59,59,59,0.5564,"LL54","NC","Gwynedd",535,"CAERNARFON CO CONST & ACONST","NCPJ","Penygroes",78.9339030800183,49.2774576599909,2,-1,-1,-1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,1,1,NA,3,1,1,NA,NA,NA,NA,NA,4,2,3,1,"",1,0,NA,2,3,2,2,2,2,3,3,5,2,1,5,2,4,8,1,1,1,1,2,5,1,3,1,2,2,2,3,3,3,3,2,4,2,3,1,3,3,2,1,3,2,4,5,5,4,8,3,1,2,3,2,2,4,2,2,2,3,3,8,8,2,2,1,4,2,6,4,9,4,1,2,1,1,2,69,7,15,1,8,4,NA,NA,NA,NA,NA,NA,1,1,9,0,5,7,3,5,2,2,20,9,3,2,3,5,4,3,9,-1,5,"CHAMBERMAID-HOUSEKEEPER IN A HOTEL","CLEAN ROOMS, MAKE BEDS, INSPECT THE PLACE, DO THE LAUNDRY, CHECK ON THE LINEN AN","NONE AT ALL, EXCEPT I LEARNED ON THE JOB",1,2,1,3,"PROVIDE ACCOMMODATION FOR GUESTS AND GOLF PLAYERS, FOOD AND DRINK, TOO",30,4,1,9,4,4,NA,958,958,"9.2.3.3",3609,6,10,0,8,3.2,1,"9.2.3.3",9233,3609,6,10,0,8,3.2,958,1,NA,8,55,8,95,22,9,11,8,5,3,4,8,4,2,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,-1,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,3,2,1,2,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",4,2,2,1,2,0,NA,1,1,1,NA,NA,NA,61,417,51,NA,11,1,1,NA,1,NA,1,417,2793,1,4,2,3,3,4,2,3,2,4,8,8,3,2,4,2,2,3,2,4,1,1,2,2,1,2,2,3,4,3,3,3,1,1,2.66666666666667,2,2
"78",705,2,7,5,1,"15072001","12:04:20","12:48:58",44,44,44,0.5564,"LL18","NE","Conwy",545,"CLWYD WEST CO CONST & ACONST","NEMW","Kinmel Bay",13.81743031,268.8838763,2,-1,-1,-1,NA,NA,2,4,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,2,2,2,NA,2,2,2,11,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,2,1,2,2,1,2,5,2,3,2,2,2,3,1,2,1,3,1,1,2,3,4,1,3,4,2,4,2,1,2,2,2,2,1,-1,1,1,4,4,2,23,1,3,3,4,8,1,4,1,1,1,4,4,3,2,4,5,3,2,1,1,1,2,2,1,2,10,4,5,7,6,1,4,2,3,1,32,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,2,2,9,0,5,2,2,7,3,2,17,17,9,4,10,6,5,4,5,-1,1,"security guard","maintain the grounds of a caravan park and made there was no trouble","none",1,3,1,2,"caravan park",60,4,1,7,5,5,NA,615,615,"9.2.4.1",10336,7,12.2,0,10,4,0,"9.2.4.1",9241,10336,7,12.2,0,10,4,615,0,NA,9,55,8,61,15,6,13,10,6,4,5,8,4,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,-1,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,4,2,2,NA,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",7,2,2,2,0,0,NA,2,NA,2,NA,NA,NA,61,2407,51,NA,3,1,1,NA,1,NA,1,2407,2204,1,2,2,3,2,3,2,1,2,1,1,2,1,2,1,1,2,3,2,3,3,2,3,3,3,3,3,2,4,3,3,4,1,1,3,3,3
"79",706,2,7,6,1,"09072001","17:34:51","18:15:03",41,41,41,1.1128,"LL18","NG","Denbighshire",566,"VALE OF CLWYD CO CONST & ACONST","NGMY","Rhuddlan",13.81743031,268.8838763,1,5,2,0,NA,NA,1,4,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,2,NA,1,2,1,NA,NA,NA,NA,NA,2,2,2,NA,"",2,2,2,2,1,1,2,2,5,1,3,2,2,2,3,3,3,3,2,1,3,4,2,3,2,2,4,3,4,3,3,3,3,2,2,2,-1,2,3,3,21,14,1,3,3,3,8,8,8,8,8,2,2,1,1,8,2,4,2,3,3,3,3,3,3,8,1,4,4,3,5,7,3,1,2,4,3,1,42,3,3,2,8,NA,NA,NA,NA,NA,NA,NA,8,8,9,3,1,3,1,5,2,1,NA,18,3,2,3,1,1,1,3,3,-1,"domestic","clean hospital corroders","none",1,3,3,4,"health care",39,4,1,1,6,6,NA,958,958,"9.2.3.3",6299,7,13.4,0,11,5,0,"9.2.3.3",9233,6299,7,13.4,0,11,5,958,0,NA,9,85,14,95,22,9,14,11,7,5,6,10,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,5,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,NA,1,7,2,NA,NA,NA,NA,"","","","",1,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",4,2,2,2,0,0,NA,1,1,2,NA,NA,NA,61,2407,51,NA,1,1,1,NA,2,1,1,2407,2383,1,3,4,4,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2.83333333333333,3,2
"80",708,2,7,8,1,"11072001","17:19:12","18:11:29",52,52,52,3.3384,"LL18","NE","Conwy",545,"CLWYD WEST CO CONST & ACONST","NEMW","Kinmel Bay",13.81743031,268.8838763,2,-1,-1,-1,NA,NA,1,4,3,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,97,NA,NA,97,1,NA,NA,NA,NA,NA,2,1,6,NA,"",3,3,5,2,3,1,2,1,2,5,2,2,4,1,5,2,5,1,3,1,3,2,3,2,2,3,1,1,1,3,4,3,2,4,3,4,2,3,3,4,8,1,10,3,3,3,4,8,8,8,1,1,2,4,2,1,2,4,2,3,2,1,1,3,3,3,1,4,4,7,2,6,2,1,3,2,3,2,70,7,15,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,9,0,5,3,1,6,3,2,13,13,1,1,1,1,1,1,9,9,5,"caterer","make meals soups and sanwiches","none",1,3,1,1,"public house",20,2,2,9,5,5,NA,953,953,"9.2.2.3",3557,7,12.2,0,7,4,0,"9.2.2.3",9223,3557,7,12.2,0,7,4,174,0,953,9,55,8,95,22,9,10,7,6,4,5,10,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,9,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,3,2,2,NA,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",7,2,2,98,2,3,5,1,1,2,NA,NA,NA,61,2407,51,NA,1,1,11,1,2,2,1,2407,2322,1,4,3,5,4,2,2,3,2,9,3,3,2,2,3,3,4,2,1,4,2,1,2,2,3,3,4,2,1,3,3,4,1,1,2,3,3
"81",709,2,7,9,1,"02072001","15:34:53","16:26:47",52,52,52,0.5564,"LL18","NG","Denbighshire",566,"VALE OF CLWYD CO CONST & ACONST","NGMA","Bodelwyddan",13.81743031,268.8838763,2,-1,-1,-1,NA,NA,4,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,5,NA,1,5,1,NA,NA,NA,NA,NA,1,5,1,NA,"",3,5,5,2,2,1,2,1,5,3,3,1,2,3,2,1,3,3,5,1,3,1,3,1,2,3,2,2,3,2,1,3,2,3,1,2,-1,2,1,3,14,1,10,1,1,1,3,2,4,5,1,1,2,4,3,1,1,4,2,4,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,3,2,51,4,12,1,8,NA,NA,NA,NA,NA,NA,NA,8,8,9,3,1,3,1,5,3,1,NA,15,3,2,3,4,3,2,8,-1,2,"cleaner","cleaning","none",1,3,1,3,"brewery",28,3,2,11,6,6,NA,958,958,"9.2.3.3",4024,7,13.4,0,11,5,0,"9.2.3.3",9233,4024,7,13.4,0,11,5,958,0,NA,9,15,4,95,22,9,14,11,7,5,6,10,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,-1,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,5,2,2,NA,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",7,2,2,5,1,5,5,1,1,2,NA,NA,NA,61,2407,51,NA,1,1,1,NA,1,NA,1,2407,2527,1,1,1,5,5,5,1,3,1,3,2,1,3,1,4,4,4,1,2,9,1,1,2,2,9,2,2,3,3,3,3,3,1,1,2.33333333333333,4,2
"82",710,2,7,10,1,"11072001","12:06:04","12:52:36",46,46,46,0.5564,"LL18","NE","Conwy",545,"CLWYD WEST CO CONST & ACONST","NEMW","Kinmel Bay",13.81743031,268.8838763,2,-1,-1,-1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,2,1,NA,"",2,2,2,1,1,1,2,1,4,1,2,3,8,2,2,1,5,2,1,1,2,2,3,1,2,1,4,2,1,2,1,3,3,3,3,4,2,3,3,4,24,28,3,1,2,4,8,8,4,8,1,1,2,1,1,1,8,4,4,3,3,1,3,3,3,3,1,5,1,6,11,11,9,1,2,2,3,1,64,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,3,1,3,1,1,3,2,30,0,4,3,5,6,5,4,8,-1,4,"cleaner","cleaning the main post office where i worked","none",1,3,3,3,"mail services",40,4,1,11,6,6,NA,958,958,"9.2.3.3",4024,7,13.4,0,11,5,0,"9.2.3.3",9233,4024,7,13.4,0,11,5,958,0,NA,9,64,9,95,22,9,14,11,7,5,6,10,5,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,-1,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,7,2,2,NA,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",7,2,2,2,0,2,2,1,1,1,NA,NA,NA,61,2407,51,NA,2,1,1,NA,1,NA,1,2407,2352,1,2,4,5,5,5,1,1,1,9,2,1,1,3,1,1,1,1,3,4,1,1,4,4,4,3,3,1,2,3,2,4,1,1,2.66666666666667,2,3
"83",713,2,7,13,1,"09072001","18:45:20","19:30:21",45,45,45,1.1128,"LL18","NG","Denbighshire",566,"VALE OF CLWYD CO CONST & ACONST","NGNJ","Tremeirchion",13.81743031,268.8838763,1,5,0,0,NA,NA,1,4,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,2,NA,2,2,1,NA,NA,NA,NA,NA,4,2,2,NA,"",3,5,2,2,1,2,2,1,2,1,3,1,1,2,2,1,3,1,2,1,3,4,2,1,2,3,2,2,2,1,2,3,1,3,2,2,-1,2,3,1,3,10,8,2,1,3,4,8,4,8,3,8,2,4,1,3,1,2,4,2,3,1,1,8,1,1,1,7,10,11,11,9,7,1,1,4,2,1,75,7,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,3,1,3,1,4,2,1,NA,47,3,2,3,1,1,1,9,9,4,"supervisor","supervising","none",1,2,3,2,"education",40,4,1,9,8,8,NA,239,239,"4.1.5.0",20304,6,6,0,5.2,3.1,0,"4.1.5.0",4150,20304,6,6,0,5.2,3.1,239,0,NA,8,80,13,23,5,2,20,17,9,9,9,99,9,2,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,9,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,3,98,2,NA,NA,NA,NA,"","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",7,2,2,2,1,0,NA,1,1,2,NA,NA,NA,61,2407,51,NA,1,1,1,NA,2,2,1,2407,2385,1,3,2,2,2,3,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2.83333333333333,3,1
"84",714,2,7,14,1,"20072001","19:02:27","19:47:28",45,45,45,0.5564,"LL18","NG","Denbighshire",566,"VALE OF CLWYD CO CONST & ACONST","NGMA","Bodelwyddan",13.81743031,268.8838763,2,-1,-1,-1,NA,NA,8,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,1,1,NA,3,1,1,NA,NA,NA,NA,NA,1,1,1,NA,"",2,2,98,2,2,2,2,8,2,3,3,3,8,8,8,NA,8,NA,8,NA,4,2,3,1,2,3,2,2,3,3,3,8,8,4,2,1,-1,1,3,4,4,14,21,2,2,3,4,8,8,8,8,8,2,3,2,1,2,2,4,2,2,8,3,8,8,2,1,7,6,6,6,6,6,1,3,4,2,2,44,3,11,1,2,8,NA,NA,NA,NA,NA,NA,1,1,9,3,1,3,1,5,2,2,17,12,3,2,3,3,3,2,3,-1,-1,"invoice clerk","invoiceing/use a pc/paper work/filing/-","computer data imput",1,3,1,4,"fibre optics manufacturer",40,4,1,1,3,3,NA,410,410,"4.1.2.2",4174,7,7.1,0,6,3.1,0,"4.1.2.2",4122,4174,7,7.1,0,6,3.1,410,0,NA,9,31,4,41,10,4,9,6,4,3,3,3,2,1,-2,"","","",NA,NA,NA,NA,"",-2,-2,-2,-1,-2,-2,NA,-2,-2,"-2,skp",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,NA,1,3,1,2,1,NA,NA,"","","","",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",4,2,1,0,0,0,NA,1,1,2,NA,NA,NA,61,2407,51,NA,4,1,1,NA,1,NA,1,2407,2131,1,4,2,4,3,4,1,3,3,3,3,4,2,3,2,2,3,2,2,3,1,1,2,3,2,2,3,2,3,2,2,3,1,1,2.33333333333333,3,3
